epoch,step,train_loss_epoch,train_loss_step,val_MAE
0,2,,,9.082223892211914
0,2,6.615764141082764,,
1,5,,,1.7115240097045898
1,5,8.747864723205566,,
2,8,,,1.5593783855438232
2,8,2.4271936416625977,,
3,11,,,1.3518611192703247
3,11,1.3206628561019897,,
4,14,,,1.399195671081543
4,14,1.0382574796676636,,
5,17,,,1.5030944347381592
5,17,1.0830522775650024,,
6,20,,,1.4838591814041138
6,20,1.0856709480285645,,
7,23,,,1.3701598644256592
7,23,0.9612966179847717,,
8,26,,,1.216543197631836
8,26,0.7996911406517029,,
9,29,,,1.16474449634552
9,29,0.671517550945282,,
10,32,,,1.167073130607605
10,32,0.5357036590576172,,
11,35,,,1.104854941368103
11,35,0.46696189045906067,,
12,38,,,1.1164567470550537
12,38,0.447822242975235,,
13,41,,,1.1124742031097412
13,41,0.45737096667289734,,
14,44,,,1.0467201471328735
14,44,0.37886956334114075,,
15,47,,,1.161219835281372
15,47,0.3085419833660126,,
16,49,,0.32631075382232666,
16,50,,,1.1412757635116577
16,50,0.30815571546554565,,
17,53,,,1.1373523473739624
17,53,0.3012022078037262,,
18,56,,,1.0119891166687012
18,56,0.36199435591697693,,
19,59,,,0.962791919708252
19,59,0.25452935695648193,,
20,62,,,0.9499460458755493
20,62,0.25062182545661926,,
21,65,,,0.9827455282211304
21,65,0.19717629253864288,,
22,68,,,1.022432565689087
22,68,0.20227408409118652,,
23,71,,,0.9244707226753235
23,71,0.2653476297855377,,
24,74,,,0.952178955078125
24,74,0.2205866128206253,,
25,77,,,0.9945955872535706
25,77,0.15566395223140717,,
26,80,,,0.96045982837677
26,80,0.15473027527332306,,
27,83,,,1.0057263374328613
27,83,0.16944848001003265,,
28,86,,,1.0427426099777222
28,86,0.1910431981086731,,
29,89,,,0.9373946189880371
29,89,0.18186704814434052,,
30,92,,,0.9284565448760986
30,92,0.17649881541728973,,
31,95,,,0.9135638475418091
31,95,0.13566626608371735,,
32,98,,,0.9058162569999695
32,98,0.12644308805465698,,
33,99,,0.10945944488048553,
33,101,,,0.983086347579956
33,101,0.11883646994829178,,
34,104,,,0.9377533793449402
34,104,0.20718054473400116,,
35,107,,,1.0585720539093018
35,107,0.20213770866394043,,
36,110,,,0.9210582971572876
36,110,0.29217997193336487,,
37,113,,,0.9304505586624146
37,113,0.18205022811889648,,
38,116,,,1.0060746669769287
38,116,0.1399325281381607,,
39,119,,,1.0256903171539307
39,119,0.15280623733997345,,
40,122,,,0.9436320066452026
40,122,0.15445977449417114,,
41,125,,,0.9774118661880493
41,125,0.225205659866333,,
42,128,,,0.9134811162948608
42,128,0.18659096956253052,,
43,131,,,0.9297158718109131
43,131,0.19541768729686737,,
44,134,,,0.9412815570831299
44,134,0.11718019843101501,,
45,137,,,0.986585795879364
45,137,0.11979230493307114,,
46,140,,,1.0110834836959839
46,140,0.10496684163808823,,
