epoch,step,train_loss_epoch,train_loss_step,val_MAE
0,2,,,6.520709037780762
0,2,10.829716682434082,,
1,5,,,1.8591749668121338
1,5,5.1651129722595215,,
2,8,,,1.379509449005127
2,8,2.445769786834717,,
3,11,,,1.2762285470962524
3,11,1.2892738580703735,,
4,14,,,1.4588394165039062
4,14,1.350826382637024,,
5,17,,,1.4522662162780762
5,17,1.3815168142318726,,
6,20,,,1.3549938201904297
6,20,1.2620420455932617,,
7,23,,,1.2448729276657104
7,23,1.1676703691482544,,
8,26,,,1.2137281894683838
8,26,1.139081358909607,,
9,29,,,1.1812801361083984
9,29,1.1064101457595825,,
10,32,,,1.0884206295013428
10,32,1.0092036724090576,,
11,35,,,1.0456314086914062
11,35,0.9444807171821594,,
12,38,,,0.9736077785491943
12,38,0.8501653671264648,,
13,41,,,0.9341135621070862
13,41,0.7709181904792786,,
14,44,,,0.8757089376449585
14,44,0.6794642806053162,,
15,47,,,0.8527436256408691
15,47,0.6656972765922546,,
16,49,,0.6138201355934143,
16,50,,,0.9399144649505615
16,50,0.5977683067321777,,
17,53,,,0.8876957297325134
17,53,0.5877320766448975,,
18,56,,,0.8538920879364014
18,56,0.5454502105712891,,
19,59,,,0.9416664838790894
19,59,0.5496396422386169,,
20,62,,,0.8656754493713379
20,62,0.4721100330352783,,
21,65,,,0.8902473449707031
21,65,0.4851742088794708,,
22,68,,,0.9150809049606323
22,68,0.4919460713863373,,
23,71,,,0.8978356122970581
23,71,0.45543399453163147,,
24,74,,,0.8582653999328613
24,74,0.4145726263523102,,
25,77,,,0.8768391609191895
25,77,0.4397604763507843,,
26,80,,,0.9833148717880249
26,80,0.3914572298526764,,
27,83,,,0.9545356035232544
27,83,0.37854400277137756,,
28,86,,,0.9344302415847778
28,86,0.36637604236602783,,
29,89,,,0.9179359674453735
29,89,0.347524493932724,,
30,92,,,0.9213835000991821
30,92,0.37229570746421814,,
31,95,,,0.9224433302879333
31,95,0.3823107182979584,,
32,98,,,0.8633061647415161
32,98,0.2935582995414734,,
33,99,,0.32349491119384766,
33,101,,,0.8252502679824829
33,101,0.3332001268863678,,
34,104,,,0.9963207244873047
34,104,0.2817629277706146,,
35,107,,,0.7938789129257202
35,107,0.28800275921821594,,
36,110,,,0.797392725944519
36,110,0.2620803415775299,,
37,113,,,0.8351523876190186
37,113,0.218112051486969,,
38,116,,,0.8592095375061035
38,116,0.30347517132759094,,
39,119,,,0.8646701574325562
39,119,0.4233230650424957,,
40,122,,,1.081734538078308
40,122,0.38409969210624695,,
41,125,,,0.8105905055999756
41,125,0.37654852867126465,,
42,128,,,0.8075727224349976
42,128,0.2770877480506897,,
43,131,,,0.8497896790504456
43,131,0.32011929154396057,,
44,134,,,0.8544389009475708
44,134,0.2803778350353241,,
45,137,,,0.9326081275939941
45,137,0.24117964506149292,,
46,140,,,0.8164315819740295
46,140,0.2607835829257965,,
47,143,,,0.8569415807723999
47,143,0.3458818197250366,,
48,146,,,1.0043944120407104
48,146,0.2879126965999603,,
49,149,,0.2417619228363037,
49,149,,,0.8760537505149841
49,149,0.2791111171245575,,
50,152,,,0.8297567367553711
50,152,0.3087967336177826,,
51,155,,,0.8778795003890991
51,155,0.3392622470855713,,
52,158,,,0.8356789350509644
52,158,0.2967139780521393,,
53,161,,,0.8495854735374451
53,161,0.33062005043029785,,
54,164,,,0.8702318072319031
54,164,0.29337361454963684,,
55,167,,,0.796046257019043
55,167,0.21688508987426758,,
56,170,,,0.9413658380508423
56,170,0.1887996792793274,,
57,173,,,0.8426510095596313
57,173,0.17458488047122955,,
58,176,,,0.8647187948226929
58,176,0.15564782917499542,,
59,179,,,0.833654522895813
59,179,0.16557206213474274,,
60,182,,,0.8365068435668945
60,182,0.1564914733171463,,
61,185,,,0.8826303482055664
61,185,0.1388360857963562,,
62,188,,,0.8256930112838745
62,188,0.14829577505588531,,
63,191,,,0.8317092061042786
63,191,0.18257994949817657,,
64,194,,,0.80671226978302
64,194,0.20197327435016632,,
65,197,,,0.8201021552085876
65,197,0.15247471630573273,,
66,199,,0.13826093077659607,
66,200,,,0.8157176375389099
66,200,0.16969186067581177,,
67,203,,,0.8695276975631714
67,203,0.14247624576091766,,
68,206,,,0.8029191493988037
68,206,0.1797417849302292,,
69,209,,,0.8316746354103088
69,209,0.15796750783920288,,
70,212,,,0.8320285677909851
70,212,0.14872348308563232,,
71,215,,,0.9626877307891846
71,215,0.13928832113742828,,
72,218,,,0.8695588111877441
72,218,0.12344351410865784,,
73,221,,,0.8890284299850464
73,221,0.1476723998785019,,
74,224,,,0.840478777885437
74,224,0.13500148057937622,,
75,227,,,0.8972333073616028
75,227,0.11653510481119156,,
76,230,,,0.8328007459640503
76,230,0.12213942408561707,,
77,233,,,0.8232737183570862
77,233,0.14439457654953003,,
78,236,,,0.8529096841812134
78,236,0.10828312486410141,,
79,239,,,0.866831362247467
79,239,0.1281110644340515,,
80,242,,,0.8667553663253784
80,242,0.15014265477657318,,
81,245,,,0.8141360878944397
81,245,0.12670563161373138,,
82,248,,,0.8566498160362244
82,248,0.1192908063530922,,
83,249,,0.08390852808952332,
83,251,,,0.8828175663948059
83,251,0.0966748595237732,,
84,254,,,0.8510812520980835
84,254,0.11437183618545532,,
85,257,,,0.8949312567710876
85,257,0.10397530347108841,,
86,260,,,0.9344980716705322
86,260,0.09765680879354477,,
87,263,,,0.9097895622253418
87,263,0.09649940580129623,,
88,266,,,0.9100728034973145
88,266,0.0979524776339531,,
89,269,,,0.9038006067276001
89,269,0.08961164206266403,,
90,272,,,0.8845186233520508
90,272,0.10740654915571213,,
91,275,,,0.8789047002792358
91,275,0.11596443504095078,,
92,278,,,0.8743578195571899
92,278,0.14082594215869904,,
93,281,,,0.9842542409896851
93,281,0.1476058065891266,,
94,284,,,0.9630231857299805
94,284,0.10327839106321335,,
95,287,,,0.9019412994384766
95,287,0.1277611255645752,,
96,290,,,0.9134149551391602
96,290,0.11250131577253342,,
97,293,,,0.8700888156890869
97,293,0.10083001852035522,,
98,296,,,0.9178749322891235
98,296,0.08814612776041031,,
99,299,,0.0888030156493187,
99,299,,,0.9152672290802002
99,299,0.08704306930303574,,
100,302,,,0.9135423898696899
100,302,0.07728009670972824,,
101,305,,,0.9130345582962036
101,305,0.06954531371593475,,
102,308,,,0.9086917638778687
102,308,0.07975004613399506,,
103,311,,,0.9100934267044067
103,311,0.07477489858865738,,
104,314,,,0.8960809707641602
104,314,0.08876105397939682,,
105,317,,,0.8919342160224915
105,317,0.07205324620008469,,
106,320,,,0.8895502090454102
106,320,0.06996438652276993,,
107,323,,,0.8868168592453003
107,323,0.06856822967529297,,
108,326,,,0.8855323791503906
108,326,0.08835399150848389,,
109,329,,,0.8887132406234741
109,329,0.06317140907049179,,
110,332,,,0.8959017992019653
110,332,0.06559502333402634,,
111,335,,,0.9015620350837708
111,335,0.07910118252038956,,
112,338,,,0.9090286493301392
112,338,0.07379064708948135,,
113,341,,,0.9152038097381592
113,341,0.061998575925827026,,
114,344,,,0.9191201329231262
114,344,0.07058421522378922,,
115,347,,,0.9192291498184204
115,347,0.06892897933721542,,
116,349,,0.07165352255105972,
116,350,,,0.9150604009628296
116,350,0.06721065193414688,,
117,353,,,0.9093058705329895
117,353,0.062390994280576706,,
118,356,,,0.9111208319664001
