epoch,step,train_loss_epoch,train_loss_step,val_MAE
0,2,,,24.047304153442383
0,2,9.274153709411621,,
1,5,,,1.684342384338379
1,5,30.595703125,,
2,8,,,1.3945658206939697
2,8,2.4663145542144775,,
3,11,,,1.299231767654419
3,11,1.6426047086715698,,
4,14,,,1.3245224952697754
4,14,1.4375120401382446,,
5,17,,,1.3003647327423096
5,17,1.552761435508728,,
6,20,,,1.2244343757629395
6,20,1.3871822357177734,,
7,23,,,1.1334232091903687
7,23,1.3028335571289062,,
8,26,,,1.0487114191055298
8,26,1.0774691104888916,,
9,29,,,0.9819692969322205
9,29,0.9454057812690735,,
10,32,,,0.9051506519317627
10,32,0.8654365539550781,,
11,35,,,0.8808206915855408
11,35,0.8228651881217957,,
12,38,,,0.8019824624061584
12,38,0.7083495259284973,,
13,41,,,0.8224385976791382
13,41,0.6603240370750427,,
14,44,,,0.7651448845863342
14,44,0.599864661693573,,
15,47,,,0.7764432430267334
15,47,0.5319690704345703,,
16,49,,0.6502956748008728,
16,50,,,0.8204502463340759
16,50,0.4969423711299896,,
17,53,,,0.7618343234062195
17,53,0.5291927456855774,,
18,56,,,0.7371785640716553
18,56,0.47884395718574524,,
19,59,,,0.7247791886329651
19,59,0.4458930492401123,,
20,62,,,0.6611108183860779
20,62,0.39634236693382263,,
21,65,,,0.6564031839370728
21,65,0.376711368560791,,
22,68,,,0.6472992897033691
22,68,0.3476344645023346,,
23,71,,,0.6529951691627502
23,71,0.3329881429672241,,
24,74,,,0.6885254383087158
24,74,0.3718694746494293,,
25,77,,,0.6645908951759338
25,77,0.38893556594848633,,
26,80,,,0.6528382897377014
26,80,0.3323245346546173,,
27,83,,,0.6341332197189331
27,83,0.2914382517337799,,
28,86,,,0.6315734386444092
28,86,0.300333172082901,,
29,89,,,0.7251067161560059
29,89,0.3946664035320282,,
30,92,,,0.7745930552482605
30,92,0.39884212613105774,,
31,95,,,0.6522367000579834
31,95,0.3576641082763672,,
32,98,,,0.6148961186408997
32,98,0.29227694869041443,,
33,99,,0.317386269569397,
33,101,,,0.620209276676178
33,101,0.2780545651912689,,
34,104,,,0.6344941854476929
34,104,0.25012528896331787,,
35,107,,,0.7250032424926758
35,107,0.32745301723480225,,
36,110,,,0.6192461252212524
36,110,0.41697534918785095,,
37,113,,,0.6195111870765686
37,113,0.38228049874305725,,
38,116,,,0.7997634410858154
38,116,0.3719935715198517,,
39,119,,,0.7109967470169067
39,119,0.35114607214927673,,
40,122,,,0.6074050068855286
40,122,0.3921911418437958,,
41,125,,,0.798500657081604
41,125,0.3136388659477234,,
42,128,,,0.6050783395767212
42,128,0.287011981010437,,
43,131,,,0.6659390926361084
43,131,0.27842769026756287,,
44,134,,,0.6687399744987488
44,134,0.31095781922340393,,
45,137,,,0.6664772033691406
45,137,0.2699585258960724,,
46,140,,,0.6926732063293457
46,140,0.2403298020362854,,
47,143,,,0.6507609486579895
47,143,0.1987692266702652,,
48,146,,,0.6496318578720093
48,146,0.21818827092647552,,
49,149,,0.2104841023683548,
49,149,,,0.6456500887870789
49,149,0.2509836256504059,,
50,152,,,0.8131211996078491
50,152,0.21131378412246704,,
51,155,,,0.6349072456359863
51,155,0.2362147718667984,,
52,158,,,0.653270959854126
52,158,0.20558226108551025,,
53,161,,,0.6985911130905151
53,161,0.2422751933336258,,
