epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,1,,,,8.309370040893555,9.902161598205566,49.03354263305664
0,1,10.149901390075684,11.531993865966797,66.62127685546875,,,
1,3,,,,7.703018665313721,9.400074005126953,44.215087890625
1,3,9.414032936096191,11.123072624206543,61.99299240112305,,,
2,5,,,,7.047263145446777,8.860543251037598,39.347251892089844
2,5,8.689310073852539,10.41259765625,54.284664154052734,,,
3,7,,,,6.353638172149658,8.250733375549316,34.22894287109375
3,7,7.777077674865723,9.537955284118652,45.74342346191406,,,
4,9,,,,5.653826713562012,7.557008743286133,28.886734008789062
4,9,7.156550407409668,9.067093849182129,41.33892822265625,,,
5,11,,,,4.946922302246094,6.788084030151367,23.528724670410156
5,11,6.498379707336426,8.692906379699707,38.51567077636719,,,
6,13,,,,4.368820667266846,5.981207847595215,18.475021362304688
6,13,6.040462017059326,7.965804576873779,32.52955627441406,,,
7,15,,,,4.0799760818481445,5.332663536071777,14.624539375305176
7,15,4.732953071594238,6.51344633102417,22.004182815551758,,,
8,17,,,,4.2104387283325195,5.165637016296387,13.385443687438965
8,17,4.665926456451416,6.119869232177734,19.314271926879883,,,
9,19,,,,4.663666725158691,5.425327301025391,14.724710464477539
9,19,4.459377288818359,5.40297269821167,14.814217567443848,,,
10,21,,,,4.618569374084473,5.45369291305542,15.059377670288086
10,21,4.75172233581543,5.565115928649902,15.560259819030762,,,
11,23,,,,4.262602806091309,5.042009353637695,13.239200592041016
11,23,4.648841857910156,5.456938743591309,15.25870132446289,,,
12,25,,,,3.9063310623168945,4.617789268493652,11.429503440856934
12,25,4.315430164337158,5.166646480560303,13.983527183532715,,,
13,27,,,,3.708336353302002,4.391596794128418,10.50891399383545
13,27,3.9618895053863525,4.865910053253174,12.40037727355957,,,
14,29,,,,3.6001343727111816,4.318743705749512,10.186367988586426
14,29,3.80881404876709,4.720048904418945,11.936006546020508,,,
15,31,,,,3.5824384689331055,4.329830169677734,10.172664642333984
15,31,3.853315830230713,4.890397548675537,12.750521659851074,,,
16,33,,,,3.593045711517334,4.36431884765625,10.25400161743164
16,33,3.590346336364746,4.556224822998047,11.075422286987305,,,
17,35,,,,3.5909781455993652,4.3828253746032715,10.287870407104492
17,35,3.6514739990234375,4.633937835693359,11.360886573791504,,,
18,37,,,,3.5809712409973145,4.375686168670654,10.243192672729492
18,37,3.780177116394043,4.756038665771484,11.937171936035156,,,
19,39,,,,3.56969952583313,4.350682258605957,10.152801513671875
19,39,3.631240129470825,4.625577449798584,11.433140754699707,,,
20,41,,,,3.5526416301727295,4.31119441986084,10.015777587890625
20,41,3.633758068084717,4.567319393157959,11.053400993347168,,,
21,43,,,,3.5375518798828125,4.2705183029174805,9.883933067321777
21,43,3.772094964981079,4.8367109298706055,12.359797477722168,,,
22,45,,,,3.5237672328948975,4.233757972717285,9.770055770874023
22,45,3.60174822807312,4.454117774963379,10.652297019958496,,,
23,47,,,,3.5123353004455566,4.20095157623291,9.668699264526367
23,47,3.609976291656494,4.467650413513184,10.771466255187988,,,
24,49,,,,3.507518768310547,4.17269229888916,9.57715892791748
24,49,3.525742292404175,4.4128241539001465,10.388813972473145,,,
25,51,,,,3.5004961490631104,4.14219856262207,9.462449073791504
25,51,3.709108591079712,4.471743106842041,10.88119888305664,,,
26,53,,,,3.492607831954956,4.112058639526367,9.346782684326172
26,53,3.544146776199341,4.430174350738525,10.58857536315918,,,
27,55,,,,3.487255573272705,4.088448524475098,9.263700485229492
27,55,3.54723858833313,4.3618340492248535,10.302518844604492,,,
28,57,,,,3.4683244228363037,4.057653903961182,9.142227172851562
28,57,3.4649746417999268,4.212281227111816,9.616646766662598,,,
29,59,,,,3.443819522857666,4.0185136795043945,8.980365753173828
29,59,3.4271903038024902,4.156192779541016,9.336563110351562,,,
30,61,,,,3.392688274383545,3.955580711364746,8.707987785339355
30,61,3.5602872371673584,4.274601459503174,9.980447769165039,,,
31,63,,,,3.327685832977295,3.883932590484619,8.397893905639648
31,63,3.485185146331787,4.2374138832092285,9.691618919372559,,,
32,65,,,,3.263237476348877,3.8160247802734375,8.10362720489502
32,65,3.430082082748413,4.138346195220947,9.318052291870117,,,
33,67,,,,3.2009835243225098,3.7482733726501465,7.829655647277832
33,67,3.141366481781006,3.8175547122955322,7.805527687072754,,,
34,69,,,,3.137631893157959,3.6822662353515625,7.568093776702881
34,69,3.194169282913208,3.9046332836151123,8.300607681274414,,,
35,71,,,,3.0536246299743652,3.5951762199401855,7.205444812774658
