epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,1,,,,2.763042449951172,4.186734676361084,8.79134750366211
0,1,4.011142730712891,5.63453483581543,15.940814971923828,,,
1,3,,,,2.4941492080688477,3.8180737495422363,7.315579891204834
1,3,3.6787936687469482,5.301122188568115,14.277046203613281,,,
2,5,,,,2.247361421585083,3.460794687271118,6.025752067565918
2,5,2.8645949363708496,3.9661219120025635,7.9285173416137695,,,
3,7,,,,2.008765459060669,3.1016111373901367,4.870445251464844
3,7,2.614668369293213,3.747744560241699,7.159072399139404,,,
4,9,,,,1.9562270641326904,2.774083137512207,3.9501631259918213
4,9,2.1782538890838623,3.6446778774261475,7.102332592010498,,,
5,11,,,,2.0560317039489746,2.5550312995910645,3.4431779384613037
5,11,2.2492668628692627,3.474277973175049,6.470719814300537,,,
6,13,,,,2.2379443645477295,2.554682493209839,3.5721657276153564
6,13,2.148055076599121,3.216007947921753,5.611358642578125,,,
7,15,,,,2.453382968902588,2.7234270572662354,4.173218250274658
7,15,2.2365667819976807,3.236832857131958,5.473333835601807,,,
8,17,,,,2.4540135860443115,2.7144577503204346,4.238205432891846
8,17,2.3448989391326904,3.186481237411499,5.47001838684082,,,
9,19,,,,2.2761154174804688,2.573021650314331,3.8378446102142334
9,19,2.4906938076019287,3.2971017360687256,6.038202285766602,,,
10,21,,,,2.0897140502929688,2.466036081314087,3.5028181076049805
10,21,2.2905306816101074,3.1924350261688232,5.444629192352295,,,
11,23,,,,1.932291030883789,2.4196794033050537,3.309107780456543
11,23,2.082660675048828,2.533517837524414,3.5303893089294434,,,
12,25,,,,1.9081708192825317,2.404179334640503,3.2177507877349854
12,25,2.1141648292541504,3.18526554107666,5.5632100105285645,,,
13,27,,,,1.8868434429168701,2.395376682281494,3.175536870956421
13,27,2.0676934719085693,3.185546875,5.342430591583252,,,
14,29,,,,1.8527309894561768,2.38295316696167,3.1455392837524414
14,29,1.861982822418213,2.3020386695861816,2.928187370300293,,,
15,31,,,,1.81540846824646,2.3766276836395264,3.133603096008301
15,31,2.089937448501587,3.239898443222046,5.585544586181641,,,
16,33,,,,1.8500443696975708,2.3756980895996094,3.1353042125701904
16,33,2.054891586303711,3.1932144165039062,5.567691326141357,,,
17,35,,,,1.8919490575790405,2.3790178298950195,3.147946357727051
17,35,1.9146068096160889,2.522048234939575,3.410975933074951,,,
18,37,,,,1.9350708723068237,2.3802428245544434,3.161266803741455
18,37,1.9394983053207397,2.5056450366973877,3.422316551208496,,,
19,39,,,,1.9751112461090088,2.3825676441192627,3.180997848510742
19,39,1.7973127365112305,2.1779580116271973,2.6419825553894043,,,
20,41,,,,2.0041379928588867,2.384369134902954,3.2006425857543945
20,41,1.8471320867538452,2.2575109004974365,2.8099007606506348,,,
21,43,,,,2.020474672317505,2.3848390579223633,3.2161033153533936
21,43,2.069843292236328,3.0832996368408203,5.0895094871521,,,
22,45,,,,2.0225565433502197,2.3810884952545166,3.218162775039673
22,45,2.131049633026123,3.0743215084075928,5.448819637298584,,,
23,47,,,,2.016510248184204,2.3745415210723877,3.211609125137329
23,47,1.9209858179092407,2.3059656620025635,2.948265552520752,,,
24,49,,,,2.003500461578369,2.366534471511841,3.197237491607666
24,49,1.8596755266189575,2.168642282485962,2.6513073444366455,,,
25,51,,,,1.9843016862869263,2.356994390487671,3.1748640537261963
25,51,2.1004374027252197,2.5622317790985107,3.6178524494171143,,,
26,53,,,,1.959653615951538,2.3465254306793213,3.145209550857544
26,53,1.940086841583252,2.3186473846435547,3.023949146270752,,,
27,55,,,,1.9362107515335083,2.3373148441314697,3.1158742904663086
27,55,1.9846124649047852,2.966785192489624,4.7902445793151855,,,
28,57,,,,1.91295325756073,2.329193115234375,3.087277889251709
28,57,1.9085383415222168,2.2901298999786377,2.9359331130981445,,,
29,59,,,,1.897481918334961,2.322655200958252,3.0654537677764893
29,59,2.1350700855255127,3.1813530921936035,5.482725620269775,,,
30,61,,,,1.8884942531585693,2.3153836727142334,3.045494318008423
30,61,2.080782175064087,3.166497230529785,5.417878150939941,,,
31,63,,,,1.8852057456970215,2.3079442977905273,3.0278515815734863
31,63,2.0713253021240234,3.161294937133789,5.309782028198242,,,
32,65,,,,1.8866463899612427,2.3008224964141846,3.013418436050415
32,65,1.9871793985366821,2.5106778144836426,3.4499282836914062,,,
33,67,,,,1.8920872211456299,2.294424057006836,3.0026416778564453
33,67,2.099351644515991,3.1533138751983643,5.414977550506592,,,
34,69,,,,1.8982040882110596,2.288329839706421,2.9925949573516846
34,69,2.1434783935546875,3.1818525791168213,5.579476833343506,,,
35,71,,,,1.9008740186691284,2.2818596363067627,2.9793295860290527
35,71,1.9910643100738525,2.9267241954803467,4.94326639175415,,,
36,73,,,,1.9089157581329346,2.2776951789855957,2.975449323654175
36,73,2.103302478790283,3.1735401153564453,5.341330051422119,,,
37,75,,,,1.9092042446136475,2.2726259231567383,2.966202735900879
37,75,2.0092921257019043,2.8824455738067627,5.124267101287842,,,
38,77,,,,1.9001212120056152,2.2811882495880127,2.975017786026001
38,77,1.8826076984405518,2.2671430110931396,2.849262237548828,,,
39,79,,,,1.8942121267318726,2.287598133087158,2.9795918464660645
39,79,2.0764052867889404,3.069459915161133,5.374842166900635,,,
40,81,,,,1.9091378450393677,2.2516379356384277,2.9288175106048584
40,81,2.0409996509552,3.072180986404419,5.104386806488037,,,
41,83,,,,1.876114845275879,2.2422873973846436,2.893101215362549
41,83,2.021010160446167,3.0561201572418213,5.034943580627441,,,
42,85,,,,1.8488330841064453,2.2617688179016113,2.907975196838379
42,85,1.7696552276611328,2.114380359649658,2.498650550842285,,,
43,87,,,,1.8810874223709106,2.215071678161621,2.847825765609741
43,87,1.9435383081436157,2.885286569595337,4.842825412750244,,,
44,89,,,,1.826295256614685,2.240417957305908,2.855026960372925
44,89,1.835808277130127,2.25303053855896,2.775089979171753,,,
45,91,,,,1.826246976852417,2.207629442214966,2.7885706424713135
45,91,1.973186731338501,2.996511220932007,4.840217113494873,,,
46,93,,,,1.853977918624878,2.182553291320801,2.752311944961548
46,93,1.889697790145874,2.7477853298187256,4.494752883911133,,,
47,95,,,,1.8161460161209106,2.2228450775146484,2.7896108627319336
47,95,1.802306056022644,2.1544783115386963,2.5980522632598877,,,
48,97,,,,1.891050100326538,2.200450897216797,2.7938034534454346
48,97,1.886861801147461,2.7306747436523438,4.46848726272583,,,
49,99,,,,1.7943389415740967,2.2011115550994873,2.7586722373962402
49,99,1.954575777053833,2.9204604625701904,4.60468864440918,,,
50,101,,,,1.780860424041748,2.1168036460876465,2.541091203689575
50,101,1.778976559638977,2.106670618057251,2.5086042881011963,,,
51,103,,,,1.7923219203948975,2.0938963890075684,2.5058932304382324
51,103,1.8854296207427979,2.907184362411499,4.493656635284424,,,
52,105,,,,1.695388674736023,2.0323662757873535,2.379599094390869
52,105,1.9141229391098022,2.8069679737091064,4.615594387054443,,,
53,107,,,,1.673351526260376,2.0049362182617188,2.3264307975769043
53,107,1.8792601823806763,2.898589849472046,4.535345554351807,,,
54,109,,,,1.7335870265960693,2.0399444103240967,2.3570008277893066
54,109,1.674222707748413,2.007877826690674,2.2883503437042236,,,
55,111,,,,1.6290757656097412,1.9359530210494995,2.148607015609741
55,111,1.7089935541152954,2.1036550998687744,2.455190420150757,,,
56,113,,,,1.5927544832229614,1.8912352323532104,2.090111017227173
56,113,1.604515790939331,1.9181840419769287,2.081636667251587,,,
57,115,,,,1.6339658498764038,1.9576435089111328,2.1418488025665283
57,115,1.6989309787750244,2.1207520961761475,2.520613193511963,,,
58,117,,,,1.5828810930252075,1.8640427589416504,1.9575387239456177
58,117,1.7968976497650146,2.8239500522613525,4.204039573669434,,,
59,119,,,,1.568250298500061,1.8818528652191162,2.051908493041992
59,119,1.7218098640441895,2.672835111618042,3.9156665802001953,,,
60,121,,,,1.5120253562927246,1.7567229270935059,1.800074815750122
60,121,1.6940456628799438,2.064645290374756,2.38771653175354,,,
61,123,,,,1.5823602676391602,1.8786945343017578,1.9226795434951782
61,123,1.5263583660125732,1.8420031070709229,1.9178876876831055,,,
62,125,,,,1.5299960374832153,1.787857174873352,1.8290975093841553
62,125,1.7123043537139893,2.050403356552124,2.341296672821045,,,
63,127,,,,1.5586283206939697,1.840993046760559,1.9355701208114624
63,127,1.7612226009368896,2.688347339630127,3.8659090995788574,,,
64,129,,,,1.5037285089492798,1.8213562965393066,1.80552077293396
64,129,1.7525718212127686,2.5547475814819336,3.762880563735962,,,
65,131,,,,1.4738006591796875,1.791856288909912,1.7476619482040405
65,131,1.7284836769104004,2.483830451965332,3.59706974029541,,,
66,133,,,,1.4563663005828857,1.7436559200286865,1.7044956684112549
66,133,1.7027792930603027,2.5792269706726074,3.5431721210479736,,,
67,135,,,,1.4296029806137085,1.6992590427398682,1.6241768598556519
67,135,1.5347498655319214,1.8698168992996216,1.9367451667785645,,,
68,137,,,,1.4029985666275024,1.6942837238311768,1.5544178485870361
68,137,1.6494522094726562,2.4966118335723877,3.446301221847534,,,
69,139,,,,1.3801634311676025,1.6433196067810059,1.4805400371551514
69,139,1.7059985399246216,2.589501142501831,3.557361364364624,,,
70,141,,,,1.3743996620178223,1.6266376972198486,1.4780597686767578
70,141,1.4275696277618408,1.6992741823196411,1.6382659673690796,,,
71,143,,,,1.403450846672058,1.6629929542541504,1.5061298608779907
71,143,1.447799801826477,1.7221734523773193,1.6670526266098022,,,
72,145,,,,1.4152666330337524,1.6855438947677612,1.5982303619384766
72,145,1.5615458488464355,1.9362068176269531,2.0697786808013916,,,
73,147,,,,1.4289904832839966,1.6988356113433838,1.5814385414123535
73,147,1.5340166091918945,1.920215129852295,2.0500333309173584,,,
74,149,,,,1.4373927116394043,1.7019414901733398,1.6082152128219604
74,149,1.5304899215698242,2.272984504699707,2.728623867034912,,,
75,151,,,,1.4422824382781982,1.717765212059021,1.6512027978897095
75,151,1.5404249429702759,2.1969568729400635,2.6834468841552734,,,
76,153,,,,1.4255861043930054,1.6695468425750732,1.5143104791641235
76,153,1.5844274759292603,2.2831788063049316,2.8274142742156982,,,
77,155,,,,1.4136581420898438,1.6994858980178833,1.5559935569763184
77,155,1.4739857912063599,2.117918014526367,2.484818935394287,,,
78,157,,,,1.4260679483413696,1.7187988758087158,1.5918549299240112
78,157,1.4552221298217773,1.768539547920227,1.7161346673965454,,,
79,159,,,,1.421261191368103,1.704068899154663,1.5740104913711548
79,159,1.3938004970550537,1.6610517501831055,1.541517972946167,,,
80,161,,,,1.4104206562042236,1.6867499351501465,1.543697476387024
80,161,1.543280005455017,2.0787386894226074,2.4968414306640625,,,
81,163,,,,1.4049170017242432,1.6678048372268677,1.5540648698806763
81,163,1.4504438638687134,1.972585678100586,2.1187031269073486,,,
82,165,,,,1.399625539779663,1.6623085737228394,1.5085396766662598
82,165,1.4315701723098755,1.9026201963424683,1.9802058935165405,,,
83,167,,,,1.371614694595337,1.6395450830459595,1.4486067295074463
83,167,1.4391288757324219,1.8951690196990967,1.954142689704895,,,
84,169,,,,1.3667426109313965,1.6672565937042236,1.5127819776535034
84,169,1.423133134841919,1.889358639717102,2.0138068199157715,,,
85,171,,,,1.4034037590026855,1.7351124286651611,1.5963786840438843
85,171,1.3926022052764893,1.7031800746917725,1.5786269903182983,,,
86,173,,,,1.366916298866272,1.6711584329605103,1.5105482339859009
86,173,1.4145101308822632,1.790313720703125,1.761853575706482,,,
87,175,,,,1.4020516872406006,1.7392752170562744,1.626847743988037
87,175,1.4697332382202148,1.8739478588104248,1.9343003034591675,,,
88,177,,,,1.3678646087646484,1.686923623085022,1.5480210781097412
88,177,1.399176836013794,1.7000385522842407,1.6336826086044312,,,
89,179,,,,1.3611339330673218,1.7048242092132568,1.5712660551071167
89,179,1.3005335330963135,1.5870674848556519,1.3753544092178345,,,
90,181,,,,1.3622207641601562,1.6868594884872437,1.5322699546813965
90,181,1.2999125719070435,1.5678675174713135,1.3568980693817139,,,
91,183,,,,1.3280200958251953,1.607502818107605,1.4155348539352417
91,183,1.289844274520874,1.565602421760559,1.3528169393539429,,,
92,185,,,,1.3130791187286377,1.6000111103057861,1.3799824714660645
92,185,1.2968336343765259,1.6162688732147217,1.4332269430160522,,,
93,187,,,,1.2804007530212402,1.5585479736328125,1.3166307210922241
93,187,1.3581206798553467,1.7420340776443481,1.6382882595062256,,,
94,189,,,,1.2774534225463867,1.5925530195236206,1.353198766708374
94,189,1.3388330936431885,1.6421886682510376,1.4832935333251953,,,
95,191,,,,1.2789311408996582,1.6161134243011475,1.4100302457809448
95,191,1.247058391571045,1.5837246179580688,1.3399038314819336,,,
96,193,,,,1.2960628271102905,1.60215163230896,1.3904733657836914
96,193,1.3138519525527954,1.6368498802185059,1.4636558294296265,,,
97,195,,,,1.3226102590560913,1.6552053689956665,1.4753268957138062
97,195,1.3027139902114868,1.6027425527572632,1.4040255546569824,,,
98,197,,,,1.3235344886779785,1.6587365865707397,1.4893100261688232
98,197,1.4442734718322754,1.8163055181503296,1.790978193283081,,,
99,199,,,,1.3694573640823364,1.7364226579666138,1.6186819076538086
99,199,1.2123361825942993,1.508555293083191,1.232041597366333,,,
100,201,,,,1.329734444618225,1.67392897605896,1.5148767232894897
100,201,1.2550439834594727,1.5005173683166504,1.2472589015960693,,,
