epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,1,,,,3.183727741241455,4.2882585525512695,9.219886779785156
0,1,3.9533944129943848,5.056875705718994,12.873878479003906,,,
1,3,,,,2.347611427307129,3.6122636795043945,6.525097370147705
1,3,3.505539894104004,4.996866226196289,12.508781433105469,,,
2,5,,,,1.8688620328903198,3.0467233657836914,4.646656036376953
2,5,2.7796154022216797,4.011189937591553,8.247227668762207,,,
3,7,,,,1.7830328941345215,2.654663562774658,3.5615200996398926
3,7,2.6101157665252686,4.07078742980957,8.395703315734863,,,
4,9,,,,2.011514902114868,2.5503716468811035,3.393024444580078
4,9,1.952991247177124,2.997176170349121,4.532599449157715,,,
5,11,,,,2.2970540523529053,2.6671295166015625,3.905888557434082
5,11,2.471116065979004,3.4798991680145264,6.525138854980469,,,
6,13,,,,2.350663423538208,2.6889307498931885,4.146191120147705
6,13,2.6280629634857178,3.513857126235962,6.504683017730713,,,
7,15,,,,2.247746467590332,2.6076438426971436,3.9177920818328857
7,15,2.6096854209899902,3.386510133743286,6.275497913360596,,,
8,17,,,,2.13612699508667,2.5570003986358643,3.6372170448303223
8,17,2.577711582183838,3.1798970699310303,5.575431823730469,,,
9,19,,,,2.0895702838897705,2.5357108116149902,3.4492087364196777
9,19,2.499216318130493,3.2570619583129883,5.675894260406494,,,
10,21,,,,2.0661239624023438,2.5194358825683594,3.333470344543457
10,21,2.308521032333374,2.844817638397217,4.293213367462158,,,
11,23,,,,2.0159597396850586,2.500615119934082,3.2525157928466797
11,23,2.4964652061462402,3.3700008392333984,6.1752400398254395,,,
12,25,,,,1.963489294052124,2.480278491973877,3.1946301460266113
12,25,2.2722113132476807,3.077376365661621,4.8838725090026855,,,
13,27,,,,1.9134891033172607,2.457414388656616,3.142449140548706
13,27,2.2424252033233643,3.1265625953674316,5.033781051635742,,,
14,29,,,,1.8702040910720825,2.4348387718200684,3.096940279006958
14,29,2.309398889541626,3.4723002910614014,6.160400867462158,,,
15,31,,,,1.8423056602478027,2.4155941009521484,3.065030097961426
15,31,2.0167503356933594,2.778907060623169,4.017282485961914,,,
16,33,,,,1.829245924949646,2.400026321411133,3.0468523502349854
16,33,2.1552035808563232,3.133909225463867,5.161373138427734,,,
17,35,,,,1.8384225368499756,2.3922505378723145,3.049614667892456
17,35,2.1670453548431396,3.3034040927886963,5.645740985870361,,,
18,37,,,,1.8614253997802734,2.3901517391204834,3.0670387744903564
18,37,2.1314074993133545,2.934704542160034,4.5093488693237305,,,
19,39,,,,1.8904058933258057,2.394747734069824,3.0970263481140137
